,Product,Price,Links,Brand,Os,Ram,Memory
10,"Redmi 13C (Starshine Green, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","7,699",https://www.amazon.in/Starshine-Storage-Powered-MediaTek-Display/dp/B0CMTZNPXR/ref=sr_1_8?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-8,Xiaomi,"MIUI 14, Android 13.0",4 GB,128 GB
11,"Redmi 13C (Stardust Black, 4GB RAM, 128GB Storage) | Powered by 4G Mediatek Helio G85 | 90Hz Display | 50MP AI Triple Camera","7,699",https://www.amazon.in/Stardust-Storage-Powered-Mediatek-Display/dp/B0CMTTRN8M/ref=sr_1_9?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-9,Xiaomi,"MIUI 14, Android 13.0",4 GB,128 GB
12,"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","10,499",https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_10?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-10,Redmi,"MIUI 14, Android 13.0",4 GB,
13,"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Gray, 12GB, 512GB Storage)","1,39,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTUwNDMzOTU5NDgwMjk5OjE3MjQzOTg0NTg6c3BfbXRmOjMwMDI1NDE3OTA3NDkzMjo6MDo6&url=%2FSamsung-Galaxy-Smartphone-Titanium-Storage%2Fdp%2FB0CQYGF1QY%2Fref%3Dsr_1_11_sspa%3Fcrid%3D1UO0Z6YYHREBN%26dib%3DeyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U%26dib_tag%3Dse%26keywords%3Dphones%26qid%3D1724398458%26sprefix%3Dphone%252Caps%252C229%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Samsung,Android 14,12 GB,512 GB
14,"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Gray, 12GB, 512GB Storage)","1,39,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODMwNTk2NzgzMDUxMzk3OjE3MjQzOTg1NTY6c3BfYXRmX25leHQ6MzAwMjU0MTc5MDc0OTMyOjowOjo&url=%2FSamsung-Galaxy-Smartphone-Titanium-Storage%2Fdp%2FB0CQYGF1QY%2Fref%3Dsr_1_322_sspa%3Fcrid%3D1UO0Z6YYHREBN%26keywords%3Dphones%26qid%3D1724398556%26sprefix%3Dphone%252Caps%252C229%26sr%3D8-322-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Samsung,Android 14,12 GB,512 GB
15,Apple iPhone 15 (128 GB) - Pink,"71,290",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTUwNDMzOTU5NDgwMjk5OjE3MjQzOTg0NTg6c3BfbXRmOjMwMDA1NzU5NDUzNzYzMjo6MDo6&url=%2FApple-iPhone-15-128-GB%2Fdp%2FB0CHX3TW6X%2Fref%3Dsr_1_12_sspa%3Fcrid%3D1UO0Z6YYHREBN%26dib%3DeyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U%26dib_tag%3Dse%26keywords%3Dphones%26qid%3D1724398458%26sprefix%3Dphone%252Caps%252C229%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Apple,iOS,,128 GB
16,Apple iPhone 15 (128 GB) - Pink,"71,290",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjQ5NDkxNDM5MDEwNzQyOjE3MjQzOTg1NzY6c3BfbXRmOjMwMDA1NzU5NDUzNzYzMjo6MDo6&url=%2FApple-iPhone-15-128-GB%2Fdp%2FB0CHX3TW6X%2Fref%3Dsr_1_452_sspa%3Fcrid%3D1UO0Z6YYHREBN%26keywords%3Dphones%26qid%3D1724398576%26sprefix%3Dphone%252Caps%252C229%26sr%3D8-452-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Apple,iOS,,128 GB
17,"Samsung Galaxy M15 5G (Celestial Blue,6GB RAM,128GB Storage)| 50MP Triple Cam| 6000mAh Battery|MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update|Super AMOLED Display|Without Charger","14,499",https://www.amazon.in/Samsung-Celestial-MediaTek-Dimensity-Security/dp/B0CYQ2N8JR/ref=sr_1_13?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-13,Samsung,Android 14,6 GB,128 GB
18,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)","16,834",https://www.amazon.in/OnePlus-Nord-Chromatic-128GB-Storage/dp/B0BY8MCQ9S/ref=sr_1_14?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-14,OnePlus,OxygenOS,8 GB,128 GB
19,POCO C65 (Pastel Green 4GB RAM 128GB Storage),"6,799",https://www.amazon.in/POCO-Pastel-Green-128GB-Storage/dp/B0CY299SKS/ref=sr_1_15?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-15,POCO,"MIUI 14, Android 13.0",4 GB,
20,"Redmi 13C (Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","7,699",https://www.amazon.in/Starfrost-Storage-Powered-MediaTek-Display/dp/B0CMTY5P4V/ref=sr_1_16?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-16,Xiaomi,"MIUI 14, Android 13.0",4 GB,128 GB
21,"Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","10,499",https://www.amazon.in/Redmi-Starlight-Storage-MediaTek-Dimensity/dp/B0CNX89QR8/ref=sr_1_17?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-17,Redmi,"MIUI 14, Android 13.0",4 GB,128 GB
22,"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","13,999",https://www.amazon.in/Redmi-Orchid-Largest-Display-Segment/dp/B0D78W2HF5/ref=sr_1_18?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-18,Redmi,"Android 14, Xiaomi HyperOS",6 GB,128 GB
23,"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","13,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODc1MzE0NjE1MTM4MjAyOjE3MjQzOTg0OTQ6c3BfYXRmX25leHQ6MzAwMjk1NzgwMTQ1NzMyOjowOjo&url=%2FRedmi-Orchid-Largest-Display-Segment%2Fdp%2FB0D78W2HF5%2Fref%3Dsr_1_113_sspa%3Fcrid%3D1UO0Z6YYHREBN%26dib%3DeyJ2IjoiMSJ9.MouelwT6HR1hCSfU-5jSsChvKSyQLhkLRr1N65dnnMxB_13KYetc25iinuOuhLJAqRDscknfyCHlmvOLfx4mMf1qCge_Oih4EAZF9yvx8MBaKEqan6toW-eJqbLKpj30qn-y3ElY-qfZTnTNlFYRAhvoP0Ho3QYyTBfvdF_Fklqz3kexVjAf43eiQ83oiOkWOIqcDTadnaJPEJ_id_3i8rXPkJZP7Gh_u0K1NlF8sJc.TbCauX45Mg7dEKIe9rKTF_j7M3L3gGlL6nIpP2u3OFM%26dib_tag%3Dse%26keywords%3Dphones%26qid%3D1724398494%26sprefix%3Dphone%252Caps%252C229%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Redmi,"Android 14, Xiaomi HyperOS",6 GB,128 GB
24,"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","13,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODMwNTk2NzgzMDUxMzk3OjE3MjQzOTg1NTY6c3BfbXRmOjMwMDI5NTc4MDE0NTczMjo6MDo6&url=%2FRedmi-Orchid-Largest-Display-Segment%2Fdp%2FB0D78W2HF5%2Fref%3Dsr_1_324_sspa%3Fcrid%3D1UO0Z6YYHREBN%26keywords%3Dphones%26qid%3D1724398556%26sprefix%3Dphone%252Caps%252C229%26sr%3D8-324-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Redmi,"Android 14, Xiaomi HyperOS",6 GB,128 GB
25,"realme GT 6T 5G (Fluid Silver,8GB RAM+128GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M+AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display","30,999",https://www.amazon.in/realme-Storage-Flagship-Chipset-Brightest/dp/B0D3J5PTSX/ref=sr_1_19?crid=1UO0Z6YYHREBN&dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcB5RXXhETdhUGWjD_ndeIHrhOEKEaz-Ur6iQZL-bfKcwrZMV5EEzWlB-JAxj_GBJSxDs9h-lU_47gShwVfxdJQRSrUUFfmntJwJI3XMUaOrK8SLdq2eDpHUISJDdmcVPM5T6Cj1FTdSOjvXTl01hgNtaFAwFqOzdRwBgIo5Kntjb_q9aw3FfUxmuGdH4b31a_myPfDx-Nc-sHGwybZ93NL0.IxNxhJQ4m265toZD2YMxqb3TwxDsi4ixlMPoO5CB34U&dib_tag=se&keywords=phones&qid=1724398458&sprefix=phone%2Caps%2C229&sr=8-19,realme,Android 14,8 GB,128 GB
